Name,Link,Quantity,Total cost
EC11,https://www.amazon.com/QSYZAIL-Rotary-Encoder-Compatible-Arduino/dp/B0G528SYTB/,1,8.87
Xiao BLE,https://www.amazon.com/Seeed-Studio-XIAO-nRF52840-Sense/dp/B0DJ6NZVJT?th=1,1,35.99
Generic 3 pin switch (SPDT),https://www.amazon.com/Position-Vertical-Silver-Black-Available-Electronic/dp/B0DR2J8FY3/,1,0 (self sourced)
pcb,N/A,1,3.2
tax,N/A,1,0.31
customs,N/A,1,1.12
Shipping,N/A,1,32.88
3d printed case,N/A,1,0 (self sourced)
Glorious Panda Switches,https://www.amazon.com/Glorious-Panda-Switch-LUBED-GLO-SWT-HPANDA-LUBED/dp/B096DF64NS/,8,0 (taken from some that I already owned)
gmk samurai keycaps,N/A,8,0 (taken from some that I already owned)
jst connector for lipo,https://www.amazon.com/dp/B013JRWCBU,1,6.99
lipo battery,https://www.amazon.com/dp/B0867KDMY7,1,18.99